Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,HP,ProBook,Intel Core i5,8,256,SSD,RTX 3050,15.6,No,709.0
New,Dell,Vostro,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,889.0
New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,2599.0
New,MSI,Modern,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,899.0
New,HP,Omen,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1399.0
New,HP,Chromebook,Intel Pentium,8,128,eMMC,RTX 3050,14.0,No,458.99
New,MSI,Creator,Intel Core i9,32,1000,SSD,RTX 4060,17.0,Yes,2979.01
New,MSI,Prestige,Intel Evo Core i7,16,512,SSD,RTX 3050,14.0,No,1399.0
New,HP,Pavilion,Intel Core i7,16,512,SSD,RTX 2050,14.0,No,1729.01
New,Acer,Aspire,Intel Core i3,8,512,SSD,RTX 3050,14.0,No,599.0
New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,2499.0
New,Apple,MacBook Air,Apple M2,8,256,SSD,RTX 3050,15.3,No,1599.0
New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,16.0,No,3699.01
New,Acer,Extensa,Intel Core i5,8,512,SSD,RTX 3050,15.6,No,450.0
New,Acer,Aspire,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,749.0
New,Apple,MacBook Pro,Apple M2 Pro,16,512,SSD,RTX 3050,14.2,No,2209.0
New,MSI,Creator,Intel Core i7,16,512,SSD,RTX 3050,16.0,No,1399.0
